
Location,Category,Package,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Metric
Kenkere House,Class Packages,Studio 10 Single Class Package,50976,11328,53808,50976,,61006,,10384,23364,,11682,12980,286504,Gross Sales
Kenkere House,Class Packages,Studio 10 Single Class Package,43200,9600,45600,43200,,51700,,8800,19800,,9900,11000,242800,Net Sales
Kenkere House,Class Packages,Studio 10 Single Class Package,4,1,4,4,,5,,1,2,,1,1,23,Units Sold
Kenkere House,Class Packages,Studio 10 Single Class Package,4,1,4,4,,5,,1,2,,1,1,23,Transactions
Kenkere House,Class Packages,Studio 10 Single Class Package,4,1,4,4,,5,,1,2,,1,1,20,Unique Members
Kenkere House,Class Packages,Studio 10 Single Class Package,12744,11328,13452,12744,,12201,,10384,11682,,11682,12980,12457,Average Unit Value (AUV)
Supreme HQ Bandra,Class Packages,Studio 10 Single Class Package,16941,15783,15930,15930,15930,13487,14868,14524,14868,14868,14868,14868,15239,Average Transaction Value (ATV)
Kenkere House,Class Packages,Studio 10 Single Class Package,12744,11328,13452,12744,,12201,,10384,11682,,11682,12980,12457,Average Spend Value (ASV)
Kenkere House,Class Packages,Studio 10 Single Class Package,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,Units per Transaction (UPT)
Kenkere House,Class Packages,Studio 10 Single Class Package,7776,1728,8208,7776,,9306,,1584,3564,,1782,1980,43704,VAT
Kenkere House,Class Packages,Studio 10 Single Class Package,4800,2400,2400,4800,,3300,,2200,2200,,1100,0,23200,Discount Amount
Kenkere House,Class Packages,Studio 10 Single Class Package,9.4,21.2,4.5,9.4,,5.4,,21.2,9.4,,9.4,0.0,8.1,Discount Percentage
Kenkere House,Class Packages,Studio 10 Single Class Package,4,1,2,3,,3,,1,2,,1,,17,Discounted Transactions
Kenkere House,Class Packages,Studio 10 Single Class Package,50976,11328,25488,36816,,35046,,10384,23364,,11682,,205084,Sales from Discounted Transactions
Supreme HQ Bandra,Class Packages,Studio 10 Single Class Package,25000,18000,22000,19000,21000,17000,20000,16000,18000,19000,17000,21000,233000,Gross Sales
Supreme HQ Bandra,Class Packages,Studio 10 Single Class Package,22000,16000,20000,17000,19000,15000,18000,14000,16000,17000,15000,19000,208000,Net Sales
Supreme HQ Bandra,Class Packages,Studio 10 Single Class Package,8,6,7,6,7,5,6,5,6,7,5,7,75,Units Sold
Supreme HQ Bandra,Class Packages,Studio 10 Single Class Package,8,6,7,6,7,5,6,5,6,7,5,7,75,Transactions
Supreme HQ Bandra,Class Packages,Studio 10 Single Class Package,7,5,6,5,6,4,5,4,5,6,4,6,63,Unique Members
Kwality House Kemps Corner,Class Packages,Studio 10 Single Class Package,18000,12000,16000,14000,15000,13000,17000,11000,14000,16000,12000,18000,176000,Gross Sales
Kwality House Kemps Corner,Class Packages,Studio 10 Single Class Package,16000,10000,14000,12000,13000,11000,15000,9000,12000,14000,10000,16000,152000,Net Sales
Kwality House Kemps Corner,Class Packages,Studio 10 Single Class Package,5,3,4,4,4,3,5,3,4,5,3,5,46,Units Sold
Kwality House Kemps Corner,Class Packages,Studio 10 Single Class Package,5,3,4,4,4,3,5,3,4,5,3,5,46,Transactions
Kwality House Kemps Corner,Class Packages,Studio 10 Single Class Package,4,2,3,3,3,2,4,2,3,4,2,4,36,Unique Members
